sleep_duration,bedtime_hour,wake_hour,caffeine_intake,exercise_duration,screen_time_before_bed,stress_level,mood_before_sleep,sleep_interruptions,sleep_score,sleep_quality
7.7,23.6,7.3,None,46.0,55.0,4,Happy,Yes,78.2,Good
6.1,21.0,3.1,Low,7.0,22.0,3,Neutral,Yes,44.0,Average
5.6,23.2,4.9,None,21.0,92.0,1,Neutral,No,51.6,Average
6.1,0.6,6.7,Low,4.0,69.0,7,Happy,No,35.9,Poor
7.3,23.4,6.8,High,28.0,12.0,0,Sad,No,72.8,Good
5.5,23.6,5.1,Low,11.0,106.0,1,Happy,No,41.6,Average
6.0,22.6,4.6,Moderate,0.0,101.0,6,Sad,No,6.3,Poor
4.7,22.9,3.6,Low,2.0,22.0,7,Sad,No,35.3,Poor
7.5,22.2,5.7,Moderate,50.0,49.0,3,Neutral,No,74.0,Good
4.9,21.4,2.3,None,25.0,143.0,7,Neutral,No,27.6,Poor
8.4,22.4,6.8,High,57.0,12.0,5,Neutral,No,72.9,Good
6.6,20.2,2.8,High,19.0,102.0,4,Happy,No,41.7,Average
6.5,23.0,5.4,Low,100.0,23.0,2,Sad,No,66.6,Good
5.4,22.6,4.0,Low,1.0,56.0,2,Happy,Yes,32.9,Poor
6.9,21.4,4.3,Moderate,149.0,17.0,2,Sad,Yes,53.5,Average
9.1,23.2,8.3,Moderate,27.0,6.0,8,Neutral,Yes,33.2,Poor
4.7,22.2,2.9,Moderate,36.0,11.0,5,Neutral,No,46.9,Average
6.5,23.5,6.0,Low,38.0,102.0,6,Neutral,Yes,43.1,Average
5.1,23.5,4.6,High,45.0,136.0,1,Sad,No,29.1,Poor
7.3,1.3,8.6,None,41.0,63.0,1,Sad,Yes,51.9,Average
8.4,0.8,9.2,None,38.0,50.0,6,Neutral,Yes,59.2,Average
8.8,20.9,5.7,Low,24.0,52.0,6,Happy,No,75.2,Good
6.7,22.1,4.8,Low,1.0,158.0,6,Anxious,No,24.5,Poor
8.6,21.2,5.8,Low,13.0,11.0,4,Anxious,No,57.1,Average
7.1,0.8,7.9,Moderate,73.0,81.0,2,Sad,No,56.3,Average
7.5,0.9,8.4,Low,86.0,43.0,5,Sad,No,70.9,Good
6.5,20.0,2.5,Low,16.0,6.0,6,Happy,No,70.3,Good
6.4,21.6,3.9,Low,1.0,104.0,5,Happy,No,50.8,Average
5.9,23.0,4.9,Low,2.0,45.0,5,Neutral,No,38.7,Poor
8.6,0.0,8.6,None,11.0,35.0,3,Happy,No,80.3,Good
5.2,23.8,5.0,Low,6.0,17.0,4,Sad,No,45.1,Average
5.0,23.9,4.9,Moderate,10.0,26.0,9,Happy,Yes,16.0,Poor
5.6,2.1,7.7,None,24.0,38.0,4,Neutral,No,57.0,Average
6.8,23.4,6.2,High,34.0,42.0,3,Sad,Yes,28.9,Poor
7.1,0.4,7.5,Low,99.0,51.0,4,Neutral,No,79.3,Good
7.7,23.6,7.2,None,83.0,13.0,4,Happy,Yes,77.0,Good
6.7,0.9,7.6,Moderate,65.0,1.0,3,Happy,Yes,64.9,Average
7.5,23.0,6.5,None,57.0,20.0,6,Sad,No,80.5,Good
8.9,22.2,7.1,High,15.0,160.0,3,Neutral,No,36.6,Poor
7.0,23.6,6.7,High,61.0,23.0,7,Neutral,Yes,45.9,Average
7.1,0.5,7.7,Low,35.0,36.0,6,Neutral,No,77.0,Good
6.0,23.8,5.8,High,28.0,35.0,4,Neutral,Yes,12.9,Poor
5.8,1.3,7.1,None,3.0,72.0,5,Anxious,No,15.7,Poor
6.0,23.0,5.0,Low,3.0,90.0,8,Neutral,No,30.9,Poor
7.0,24.0,7.0,None,2.0,8.0,4,Neutral,No,65.0,Average
4.8,23.4,4.3,High,71.0,15.0,2,Happy,No,58.4,Average
7.1,1.4,8.5,Moderate,122.0,44.0,3,Sad,No,73.0,Good
6.8,21.5,4.3,None,34.0,19.0,7,Neutral,No,74.0,Good
7.5,0.5,8.0,Moderate,13.0,101.0,9,Happy,No,46.7,Average
